date,Art Blocks
2022-04-12,314
2022-04-13,184
2022-04-14,210
2022-04-15,127
2022-04-16,102
2022-04-17,150
2022-04-18,250
2022-04-19,159
2022-04-20,212
2022-04-21,109
2022-04-22,70
2022-04-23,173
2022-04-24,424
2022-04-25,204
2022-04-26,217
2022-04-27,287
2022-04-28,253
2022-04-29,228
2022-04-30,327
2022-05-01,172
2022-05-02,262
2022-05-03,342
2022-05-04,200
2022-05-05,90
2022-05-06,283
2022-05-07,121
2022-05-08,255
2022-05-09,185
2022-05-10,292
2022-05-11,174
2022-05-12,62
2022-05-13,371
2022-05-14,61
2022-05-15,121
2022-05-16,109
2022-05-17,173
2022-05-18,133
2022-05-19,97
2022-05-20,66
2022-05-21,326
2022-05-22,440
2022-05-23,109
2022-05-24,238
2022-05-25,353
2022-05-26,151
2022-05-27,295
2022-05-28,44
2022-05-29,192
2022-05-30,69
2022-05-31,52
2022-06-01,98
2022-06-02,120
2022-06-03,199
2022-06-04,533
2022-06-05,59
2022-06-06,351
2022-06-07,119
2022-06-08,333
2022-06-09,151
2022-06-10,283
2022-06-11,0
2022-06-25,80
2022-06-26,253
2022-06-27,75
2022-06-28,185
2022-06-29,243
2022-06-30,81
2022-07-01,113
2022-07-02,136
2022-07-03,117
2022-07-04,85
2022-07-05,72
2022-07-06,95
2022-07-07,152
2022-07-08,203
2022-07-09,440
2022-07-10,70
2022-07-11,280
2022-07-12,200
2022-07-13,295
2022-07-14,92
2022-07-15,181
2022-07-16,341
2022-07-17,223
2022-07-18,273
2022-07-19,197
2022-07-20,271
2022-07-21,251
2022-07-22,221
2022-07-23,426
2022-07-24,178
2022-07-25,197
2022-07-26,88
2022-07-27,198
2022-07-28,106
2022-07-29,229
2022-07-30,248
2022-07-31,191
2022-08-01,73
2022-08-02,93
2022-08-03,83
2022-08-04,22
2022-08-05,78
2022-08-06,183
2022-08-07,114
2022-08-08,201
2022-08-09,121
2022-08-10,126
2022-08-11,101
2022-08-12,50
2022-08-13,149
2022-08-14,242
2022-08-15,142
2022-08-16,138
2022-08-17,166
2022-08-18,293
2022-08-19,69
2022-08-20,122
2022-08-21,123
2022-08-22,202
2022-08-23,250
2022-08-24,214
2022-08-25,221
2022-08-26,185
2022-08-27,53
2022-08-28,259
2022-08-29,108
2022-08-30,135
2022-08-31,281
2022-09-01,154
2022-09-02,98
2022-09-03,133
2022-09-04,267
2022-09-05,67
2022-09-06,265
2022-09-07,403
2022-09-08,249
2022-09-09,186
2022-09-10,107
2022-09-11,222
2022-09-12,0
2022-09-13,196
2022-09-14,150
2022-09-15,190
2022-09-16,46
2022-09-17,492
2022-09-18,211
2022-09-19,361
2022-09-20,110
2022-09-21,192
2022-09-22,321
2022-09-23,107
2022-09-24,0
2022-10-08,169
2022-10-09,133
2022-10-10,214
2022-10-11,138
2022-10-12,371
2022-10-13,293
2022-10-14,376
2022-10-15,400
2022-10-16,164
2022-10-17,177
2022-10-18,202
2022-10-19,335
2022-10-20,269
2022-10-21,321
2022-10-22,122
2022-10-23,322
2022-10-24,280
2022-10-25,453
2022-10-26,201
2022-10-27,174
2022-10-28,296
2022-10-29,741
2022-10-30,806
2022-10-31,1018
2022-11-01,999
2022-11-02,1002
2022-11-03,1151
2022-11-04,1213
2022-11-05,174
