date,BAYC
2018-09-25,56
2018-09-26,65
2018-09-27,160
2018-09-28,165
2018-09-29,352
2018-09-30,243
2018-10-01,140
2018-10-02,61
2018-10-03,287
2018-10-04,75
2018-10-05,0
2018-10-12,204
2018-10-13,196
2018-10-14,234
2018-10-15,229
2018-10-16,38
2018-10-17,284
2018-10-18,151
2018-10-19,194
2018-10-20,154
2018-10-21,407
2018-10-22,124
2018-10-23,62
2018-10-24,77
2018-10-25,124
2018-10-26,306
2018-10-27,168
2018-10-28,106
2018-10-29,52
2018-10-30,211
2018-10-31,109
2018-11-01,193
2018-11-02,142
2018-11-03,279
2018-11-04,101
2018-11-05,76
2018-11-06,158
2018-11-07,107
2018-11-08,73
2018-11-09,150
2018-11-10,218
2018-11-11,162
2018-11-12,122
2018-11-13,352
2018-11-14,277
2018-11-15,286
2018-11-16,245
2018-11-17,116
2018-11-18,152
2018-11-19,218
2018-11-20,297
2018-11-21,233
2018-11-22,228
2018-11-23,139
2018-11-24,95
2018-11-25,115
2018-11-26,76
2018-11-27,136
2018-11-28,197
2018-11-29,172
2018-11-30,223
2018-12-01,179
2018-12-02,253
2018-12-03,106
2018-12-04,234
2018-12-05,232
2018-12-06,262
2018-12-07,121
2018-12-08,192
2018-12-09,279
2018-12-10,117
2018-12-11,146
2018-12-12,81
2018-12-13,114
2018-12-14,128
2018-12-15,146
2018-12-16,110
2018-12-17,87
2018-12-18,160
2018-12-19,250
2018-12-20,614
2018-12-21,107
2018-12-22,108
2018-12-23,237
2018-12-24,219
2018-12-25,105
2018-12-26,96
2018-12-27,186
2018-12-28,131
2018-12-29,90
2018-12-30,83
2018-12-31,139
2019-01-01,237
2019-01-02,114
2019-01-03,200
2019-01-04,56
2019-01-05,146
2019-01-06,265
2019-01-07,90
2019-01-08,42
2019-01-09,111
2019-01-10,74
2019-01-11,0
2019-01-18,182
2019-01-19,289
2019-01-20,108
2019-01-21,132
2019-01-22,174
2019-01-23,136
2019-01-24,176
2019-01-25,202
2019-01-26,226
2019-01-27,362
2019-01-28,290
2019-01-29,151
2019-01-30,376
2019-01-31,122
2019-02-01,0
2019-02-08,230
2019-02-09,322
2019-02-10,252
2019-02-11,192
2019-02-12,159
2019-02-13,218
2019-02-14,158
2019-02-15,140
2019-02-16,211
2019-02-17,227
2019-02-18,126
2019-02-19,115
2019-02-20,34
2019-02-21,135
2019-02-22,301
2019-02-23,284
2019-02-24,240
2019-02-25,242
2019-02-26,164
2019-02-27,275
2019-02-28,229
2019-03-01,87
2019-03-02,169
2019-03-03,167
2019-03-04,137
2019-03-05,149
2019-03-06,191
2019-03-07,148
2019-03-08,81
2019-03-09,216
2019-03-10,189
2019-03-11,88
2019-03-12,201
2019-03-13,323
2019-03-14,189
2019-03-15,128
2019-03-16,281
2019-03-17,321
2019-03-18,119
2019-03-19,255
2019-03-20,266
2019-03-21,384
2019-03-22,46
2019-03-29,201
2019-03-30,126
2019-03-31,74
2019-04-01,91
2019-04-02,69
2019-04-03,100
2019-04-04,129
2019-04-05,225
2019-04-06,154
2019-04-07,212
2019-04-08,235
2019-04-09,206
2019-04-10,318
2019-04-11,281
2019-04-12,205
2019-04-13,162
2019-04-14,153
2019-04-15,100
2019-04-16,32
2019-04-17,143
2019-04-18,318
2019-04-19,150
2019-04-20,89
2019-04-21,202
2019-04-22,142
2019-04-23,302
2019-04-24,165
