date,NFT
2018-12-21,152
2018-12-22,135
2018-12-23,356
2018-12-24,320
2018-12-25,222
2018-12-26,210
2018-12-27,375
2018-12-28,341
2018-12-29,487
2018-12-30,509
2018-12-31,433
