date,OpenSea Shared Storefront
2022-08-30,258
2022-08-31,72
2022-09-01,64
2022-09-02,119
2022-09-03,243
2022-09-04,0
2022-09-11,0
2022-09-12,130
2022-09-13,186
2022-09-14,188
2022-09-15,79
2022-09-16,63
2022-09-17,107
2022-09-18,68
2022-10-23,211
2022-10-24,148
2022-10-25,155
2022-10-26,150
2022-10-27,137
2022-10-28,155
2022-10-29,256
2022-10-30,115
2022-10-31,293
2022-11-01,240
2022-11-02,282
2022-11-03,87
2022-11-04,31
2022-11-05,0
