,timestamp,min,max,avg
1907,2022-01-27T00:00:00Z,8.4,106,14.9285072
1908,2022-01-28T00:00:00Z,8.705,55,13.6966058132014897
1909,2022-01-29T00:00:00Z,11,200.005,19.3397988397667772
1910,2022-01-30T00:00:00Z,8,89,17.9667322404371585
1911,2022-01-31T00:00:00Z,7.875,175,22.0078552190397238
1912,2022-02-01T00:00:00Z,0.1,450,25.1383354037267081
1913,2022-02-02T00:00:00Z,14,50,19.3252240833333333
1914,2022-02-03T00:00:00Z,12,250,20.105636301369863
1915,2022-02-04T00:00:00Z,11.0310986465136488,270.018638968891239,21.94666280673477
1916,2022-02-05T00:00:00Z,12.1161699168017148,32.9768981798486373,17.6376781152088133
1917,2022-02-06T00:00:00Z,13.95,35.0341844536277475,17.7526775037209687
1918,2022-02-07T00:00:00Z,8,50,20.1567609063250177
1919,2022-02-08T00:00:00Z,9.005,75,22.892175012395875
1920,2022-02-09T00:00:00Z,11.6056237947575033,368,23.1430256826191755
1921,2022-02-10T00:00:00Z,12.0279442308970104,45.005,17.2935773349095204
1922,2022-02-11T00:00:00Z,7.2112199024289122,349.005,22.955694476713289
1923,2022-02-12T00:00:00Z,12.966099086175339,44.9894553331351275,18.3831397151148934
1924,2022-02-13T00:00:00Z,14.1885035964307507,302,28.727928395299839
1925,2022-02-14T00:00:00Z,13.0328039877760692,57.005,19.0719457506523112
1926,2022-02-15T00:00:00Z,13.0901691334011048,55,20.0928300907408525
1927,2022-02-16T00:00:00Z,6.2985903475281951,59.99,17.8176377975391926
1928,2022-02-17T00:00:00Z,12.1881283300151687,30.025330032289986,17.0580812909442695
1929,2022-02-18T00:00:00Z,9.7546617789381853,198.005,21.0467531033335485
1930,2022-02-19T00:00:00Z,12.9571376460344442,120,20.0406363588003764
1931,2022-02-20T00:00:00Z,9,20.9778384251969505,14.3851086854838675
1932,2022-02-21T00:00:00Z,10.262967991680123,48,16.1746995853917683
1933,2022-02-22T00:00:00Z,9.2685934967792822,41,17.4187106904020714
1934,2022-02-23T00:00:00Z,10.75,65,16.6746386290116256
1935,2022-02-24T00:00:00Z,9.75,60,13.6048020323001012
1936,2022-02-25T00:00:00Z,0.014493787878788,24.005,14.2494878798025886
1937,2022-02-26T00:00:00Z,12.883114422966602,90,22.4752298408721949
1938,2022-02-27T00:00:00Z,8.783361903358131,25,15.6582940094530577
1939,2022-02-28T00:00:00Z,3.1385987364410595,54.0912564745590456,15.4752194202871088
1940,2022-03-01T00:00:00Z,0.015,25.005,13.1046188485423321
1941,2022-03-02T00:00:00Z,6.5843188396459922,100,20.3027073763178538
