"DateTime","Primary Sales","Secondary sales"
"2022-03-12 00:00:00",7914,35572
"2022-03-13 00:00:00",10089,37868
"2022-03-14 00:00:00",6362,34848
"2022-03-15 00:00:00",8339,38465
"2022-03-16 00:00:00",5630,34901
"2022-03-17 00:00:00",8600,34718
"2022-03-18 00:00:00",6195,33160
"2022-03-19 00:00:00",6820,31670
"2022-03-20 00:00:00",8076,33681
"2022-03-21 00:00:00",7843,32747
"2022-03-22 00:00:00",8419,31673
"2022-03-23 00:00:00",7564,35749
"2022-03-24 00:00:00",7490,35964
"2022-03-25 00:00:00",12268,36959
"2022-03-26 00:00:00",6504,25891
"2022-03-27 00:00:00",5930,31623
"2022-03-28 00:00:00",9352,37077
"2022-03-29 00:00:00",4894,31221
"2022-03-30 00:00:00",3876,23594
"2022-03-31 00:00:00",3289,21817
"2022-04-01 00:00:00",2740,21294
"2022-04-02 00:00:00",3848,27794
"2022-04-03 00:00:00",12867,37593
"2022-04-04 00:00:00",7185,35243
"2022-04-05 00:00:00",3982,28418
"2022-04-06 00:00:00",11462,52743
"2022-04-07 00:00:00",10418,47485
"2022-04-08 00:00:00",4335,41724
"2022-04-09 00:00:00",5511,35531
"2022-04-10 00:00:00",5983,31744
"2022-04-11 00:00:00",3950,28993
"2022-04-12 00:00:00",3879,28077
"2022-04-13 00:00:00",8430,28954
"2022-04-14 00:00:00",13895,30916
"2022-04-15 00:00:00",6911,31094
"2022-04-16 00:00:00",13462,33354
"2022-04-17 00:00:00",6561,29689
"2022-04-18 00:00:00",6926,36135
"2022-04-19 00:00:00",6686,32696
"2022-04-20 00:00:00",4744,29958
"2022-04-21 00:00:00",4707,30721
"2022-04-22 00:00:00",9065,30825
"2022-04-23 00:00:00",15344,32923
"2022-04-24 00:00:00",14187,32382
"2022-04-25 00:00:00",11588,33793
"2022-04-26 00:00:00",28358,34216
"2022-04-27 00:00:00",25713,37135
"2022-04-28 00:00:00",31886,32632
"2022-04-29 00:00:00",15616,28770
"2022-04-30 00:00:00",23909,31369
"2022-05-01 00:00:00",78852,43580
"2022-05-02 00:00:00",65624,46050
"2022-05-03 00:00:00",48728,39334
"2022-05-04 00:00:00",25640,32472
"2022-05-05 00:00:00",32869,32968
"2022-05-06 00:00:00",27542,30847
