"DateTime","Number of sales","Sales USD"
"2022-02-03 00:00:00",110479,148091722.3
"2022-02-04 00:00:00",109015,140188331.41
"2022-02-05 00:00:00",81635,103579587.82
"2022-02-06 00:00:00",99783,91849926.23
"2022-02-07 00:00:00",119260,216410769.59
"2022-02-08 00:00:00",112462,101177749.79
"2022-02-09 00:00:00",118684,113231258.38
"2022-02-10 00:00:00",116068,115498099.7
"2022-02-11 00:00:00",100716,113051289.94
"2022-02-12 00:00:00",101605,237542087.49
"2022-02-13 00:00:00",90681,196624299.08
"2022-02-14 00:00:00",75951,83050881.69
"2022-02-15 00:00:00",74552,90106313.17
"2022-02-16 00:00:00",67241,82332673.09
"2022-02-17 00:00:00",72794,67915217.25
"2022-02-18 00:00:00",65983,68344646.66
"2022-02-19 00:00:00",76610,56870031.55
"2022-02-20 00:00:00",74082,65322071.83
"2022-02-21 00:00:00",86986,85842561.81
"2022-02-22 00:00:00",91152,82132351.88
"2022-02-23 00:00:00",102008,104282513.05
"2022-02-24 00:00:00",64837,88561723.9
"2022-02-25 00:00:00",70967,85475930.72
"2022-02-26 00:00:00",75293,72689661.99
"2022-02-27 00:00:00",60601,74494604.02
"2022-02-28 00:00:00",71032,54496761.4
"2022-03-01 00:00:00",64043,44344528.96
"2022-03-02 00:00:00",68739,58287673.96
"2022-03-03 00:00:00",60825,53963065.22
"2022-03-04 00:00:00",65996,63396795.02
"2022-03-05 00:00:00",69374,52709822.04
"2022-03-06 00:00:00",49142,35870837.28
"2022-03-07 00:00:00",51109,42696049.19
"2022-03-08 00:00:00",45201,46829284.12
"2022-03-09 00:00:00",49738,41423635.87
"2022-03-10 00:00:00",45783,40615633.7
"2022-03-11 00:00:00",45368,61613077.81
"2022-03-12 00:00:00",43486,60090022.06
"2022-03-13 00:00:00",47957,51882448.47
"2022-03-14 00:00:00",41210,37160486.28
"2022-03-15 00:00:00",46804,44152307.2
"2022-03-16 00:00:00",40531,65048631.69
"2022-03-17 00:00:00",43318,125431449.18
"2022-03-18 00:00:00",39355,100458175.69
"2022-03-19 00:00:00",38490,100227634.53
"2022-03-20 00:00:00",41757,69908609.73
"2022-03-21 00:00:00",40590,60985468.13
"2022-03-22 00:00:00",40092,49948552.17
"2022-03-23 00:00:00",43313,61311144.67
"2022-03-24 00:00:00",43454,74932702.04
"2022-03-25 00:00:00",49227,66990255.25
"2022-03-26 00:00:00",32395,56345150.51
"2022-03-27 00:00:00",37553,56262389.67
"2022-03-28 00:00:00",46429,54173269.6
"2022-03-29 00:00:00",36115,49875113.55
"2022-03-30 00:00:00",27470,69174736.73
"2022-03-31 00:00:00",25106,71941580.92
"2022-04-01 00:00:00",24034,83724115.96
"2022-04-02 00:00:00",31642,116923359.93
"2022-04-03 00:00:00",50460,137619316.36
"2022-04-04 00:00:00",42428,107269589.83
"2022-04-05 00:00:00",32400,79102768.68
"2022-04-06 00:00:00",64205,63332753.46
"2022-04-07 00:00:00",57903,73078957.37
"2022-04-08 00:00:00",46059,49906918.1
"2022-04-09 00:00:00",41042,53687109.31
"2022-04-10 00:00:00",37727,48475382.76
"2022-04-11 00:00:00",32943,46095276.92
"2022-04-12 00:00:00",31956,45908488.7
"2022-04-13 00:00:00",37384,60229722.93
"2022-04-14 00:00:00",44811,61865142.47
"2022-04-15 00:00:00",38005,48837443.09
"2022-04-16 00:00:00",46816,212770303.41
"2022-04-17 00:00:00",36250,116113493.41
"2022-04-18 00:00:00",43061,105440560.64
"2022-04-19 00:00:00",39382,102100800.36
"2022-04-20 00:00:00",34702,98553048.34
"2022-04-21 00:00:00",35428,104962718.32
"2022-04-22 00:00:00",39890,86320512.12
"2022-04-23 00:00:00",48267,91741542.97
"2022-04-24 00:00:00",46569,105318174.61
"2022-04-25 00:00:00",45381,110934027.99
"2022-04-26 00:00:00",62574,104795130
"2022-04-27 00:00:00",62848,83967705.14
"2022-04-28 00:00:00",64518,96253089.37
"2022-04-29 00:00:00",44386,91722839.13
"2022-04-30 00:00:00",55278,100377423.67
"2022-05-01 00:00:00",122432,811609612.29
"2022-05-02 00:00:00",111674,289822039.14
"2022-05-03 00:00:00",88062,147575926.27
"2022-05-04 00:00:00",58112,161533737.36
"2022-05-05 00:00:00",65837,198722995.73
"2022-05-06 00:00:00",58389,124622185.81
"2022-05-07 00:00:00",54906,94656095.86
"2022-05-08 00:00:00",41486,57610866.9
"2022-05-09 00:00:00",42781,84167299.37
"2022-05-10 00:00:00",45826,131764097.24
"2022-05-11 00:00:00",31195,78556489.24
"2022-05-12 00:00:00",29244,64232362.7
"2022-05-13 00:00:00",33255,79669298.67
"2022-05-14 00:00:00",31914,64934700.06
"2022-05-15 00:00:00",27846,35955216.59
"2022-05-16 00:00:00",28315,34175192.63
"2022-05-17 00:00:00",28207,34808485.36
"2022-05-18 00:00:00",37440,43223727.99
"2022-05-19 00:00:00",37016,38264153.95
"2022-05-20 00:00:00",50181,49285647.01
"2022-05-21 00:00:00",53625,34229739.1
"2022-05-22 00:00:00",43326,35563678.37
"2022-05-23 00:00:00",32336,34503026.12
"2022-05-24 00:00:00",28687,29617407.2
"2022-05-25 00:00:00",50394,35569687.9
"2022-05-26 00:00:00",39392,44365279.3
"2022-05-27 00:00:00",31966,36767255.17
"2022-05-28 00:00:00",31505,27366255.33
"2022-05-29 00:00:00",28002,29386678.38
"2022-05-30 00:00:00",23961,31114445.48
"2022-05-31 00:00:00",31217,42851948.87
"2022-06-01 00:00:00",26221,41721252.85
"2022-06-02 00:00:00",28984,32810873.93
"2022-06-03 00:00:00",51513,37823745.77
"2022-06-04 00:00:00",30721,34322589.38
"2022-06-05 00:00:00",40315,32680971.16
"2022-06-06 00:00:00",32778,36571913.55
"2022-06-07 00:00:00",37719,41772686.53
"2022-06-08 00:00:00",34456,44805480.57
"2022-06-09 00:00:00",25877,34304141.05
"2022-06-10 00:00:00",24377,34348685.69
"2022-06-11 00:00:00",23116,34600943.4
"2022-06-12 00:00:00",22243,32677786.91
"2022-06-13 00:00:00",23803,39685970.65
"2022-06-14 00:00:00",27703,40143396.61
"2022-06-15 00:00:00",27449,32195287.43
"2022-06-16 00:00:00",23059,29995319.49
