"DateTime","Primary sales USD","Secondary sales USD"
"2022-01-19 00:00:00",43129160.26,119938743.48
"2022-01-20 00:00:00",43541470.5,146318554.39
"2022-01-21 00:00:00",16939992.65,132556473.74
"2022-01-22 00:00:00",15190748.94,79170242.86
"2022-01-23 00:00:00",15679890.3,91638982.62
"2022-01-24 00:00:00",14283557.15,77589499.94
"2022-01-25 00:00:00",46659522.64,143894536.55
"2022-01-26 00:00:00",28879944.99,171816324.37
"2022-01-27 00:00:00",28393701.39,178474803.22
"2022-01-28 00:00:00",23740543.25,119498018.08
"2022-01-29 00:00:00",25599736.64,133944499.39
"2022-01-30 00:00:00",24015005.35,165372807.14
"2022-01-31 00:00:00",43704591.93,173019194.99
"2022-02-01 00:00:00",37065056.38,180712503.3
"2022-02-02 00:00:00",28021957.45,133687086.05
"2022-02-03 00:00:00",34715718.32,113376003.98
"2022-02-04 00:00:00",13142598.47,127045732.93
"2022-02-05 00:00:00",10792198.13,92787389.69
"2022-02-06 00:00:00",11413336.49,80436589.74
"2022-02-07 00:00:00",94614978.05,121795791.54
"2022-02-08 00:00:00",13547085.43,87630664.36
"2022-02-09 00:00:00",16254800.74,96976457.64
"2022-02-10 00:00:00",19536754.21,95961345.49
"2022-02-11 00:00:00",10485737.02,102565552.92
"2022-02-12 00:00:00",17844355.97,219697731.52
"2022-02-13 00:00:00",11633036.38,184991262.7
"2022-02-14 00:00:00",9519299.08,73531582.61
"2022-02-15 00:00:00",6249763.15,83856550.01
"2022-02-16 00:00:00",6787900.07,75544773.02
"2022-02-17 00:00:00",6161734.55,61753482.7
"2022-02-18 00:00:00",5042444.83,63302201.83
"2022-02-19 00:00:00",7094190.32,49775841.22
"2022-02-20 00:00:00",12057965.33,53264106.5
"2022-02-21 00:00:00",10224273.28,75618288.52
"2022-02-22 00:00:00",13678480.15,68453871.73
"2022-02-23 00:00:00",14962730.33,89319782.72
"2022-02-24 00:00:00",6022064.5,82539659.4
"2022-02-25 00:00:00",6656391.01,78819539.71
"2022-02-26 00:00:00",10532000.93,62157661.06
"2022-02-27 00:00:00",4320060.29,70174543.74
"2022-02-28 00:00:00",6610059.72,47886701.67
"2022-03-01 00:00:00",4803607.97,39540920.99
"2022-03-02 00:00:00",7322217.01,50965456.95
"2022-03-03 00:00:00",7511741.11,46451324.1
"2022-03-04 00:00:00",11852524.59,51544270.43
"2022-03-05 00:00:00",7241982.83,45467839.21
"2022-03-06 00:00:00",3071747.89,32799089.39
"2022-03-07 00:00:00",3616467.51,39079581.67
"2022-03-08 00:00:00",3299152.32,43530131.8
"2022-03-09 00:00:00",3367494.87,38056141
"2022-03-10 00:00:00",3175577.13,37440056.58
"2022-03-11 00:00:00",6321381.36,55291696.45
"2022-03-12 00:00:00",3749186.9,56340835.17
"2022-03-13 00:00:00",3106634.48,48775813.99
"2022-03-14 00:00:00",2908125.53,34252360.75
"2022-03-15 00:00:00",3154664.18,40997643.03
"2022-03-16 00:00:00",4262991.26,60785640.44
"2022-03-17 00:00:00",8853334.09,116578115.08
"2022-03-18 00:00:00",7355385.33,93102790.36
"2022-03-19 00:00:00",6623629.87,93604004.66
"2022-03-20 00:00:00",4431203.08,65477406.65
"2022-03-21 00:00:00",7266509.39,53718958.74
"2022-03-22 00:00:00",4679529.69,45269022.48
"2022-03-23 00:00:00",3727739.12,57583405.55
"2022-03-24 00:00:00",5183051.2,69749650.84
"2022-03-25 00:00:00",7393480.67,59596774.58
"2022-03-26 00:00:00",7695472.98,48649677.53
"2022-03-27 00:00:00",6005011.51,50257378.16
"2022-03-28 00:00:00",4879926,49293343.6
"2022-03-29 00:00:00",4289129.91,45585983.64
"2022-03-30 00:00:00",10049338.77,59125397.97
"2022-03-31 00:00:00",5246785.05,66694795.87
"2022-04-01 00:00:00",4276886.61,79447229.35
"2022-04-02 00:00:00",7458941.52,109464418.41
"2022-04-03 00:00:00",15670029.07,121949287.29
"2022-04-04 00:00:00",8694387.74,98575202.09
"2022-04-05 00:00:00",5102103.99,74000664.69
"2022-04-06 00:00:00",7500993.51,55831759.96
"2022-04-07 00:00:00",12013956.4,61065000.97
"2022-04-08 00:00:00",5043858.7,44863059.4
"2022-04-09 00:00:00",5845923.7,47841185.6
"2022-04-10 00:00:00",4286906.57,44188476.19
"2022-04-11 00:00:00",3410910.15,42684366.78
"2022-04-12 00:00:00",3472053.64,42436435.07
"2022-04-13 00:00:00",6552160.11,53677562.82
"2022-04-14 00:00:00",7146125.89,54719016.58
"2022-04-15 00:00:00",4956959.59,43880483.49
"2022-04-16 00:00:00",70635917.73,142134385.68
"2022-04-17 00:00:00",6839517.29,109273976.12
"2022-04-18 00:00:00",10124984.98,95315575.66
"2022-04-19 00:00:00",7391938.29,94708862.07
"2022-04-20 00:00:00",6156533.28,92396515.06
"2022-04-21 00:00:00",6976793.46,97985924.86
"2022-04-22 00:00:00",8012985.92,78307526.2
"2022-04-23 00:00:00",11735862.23,80005680.74
"2022-04-24 00:00:00",12970457.52,92347717.09
"2022-04-25 00:00:00",24459101.61,86474926.38
"2022-04-26 00:00:00",20681442.44,84113687.56
"2022-04-27 00:00:00",11420317.4,72547387.73
"2022-04-28 00:00:00",22432308.96,73820780.41
"2022-04-29 00:00:00",9025448.83,82697390.3
"2022-04-30 00:00:00",6539628.31,93837795.36
"2022-05-01 00:00:00",367129299.65,444480312.65
"2022-05-02 00:00:00",30761658.49,259060380.65
"2022-05-03 00:00:00",14692597.42,132883328.85
"2022-05-04 00:00:00",24926217.78,136607519.58
"2022-05-05 00:00:00",55689310,143033685.74
"2022-05-06 00:00:00",18816558.56,105805627.25
"2022-05-07 00:00:00",11107117.89,83548977.97
"2022-05-08 00:00:00",5128935.74,52481931.16
"2022-05-09 00:00:00",7473420.57,76693878.8
"2022-05-10 00:00:00",8561006.7,123203090.54
"2022-05-11 00:00:00",8658339.67,69898149.57
"2022-05-12 00:00:00",6380715.57,57851647.14
"2022-05-13 00:00:00",7473171.61,72196127.06
"2022-05-14 00:00:00",3690967.11,61243732.96
"2022-05-15 00:00:00",3134523.52,32820693.07
"2022-05-16 00:00:00",2736542.7,31438649.93
"2022-05-17 00:00:00",2647266.56,32161218.81
"2022-05-18 00:00:00",6570728.97,36652999.02
"2022-05-19 00:00:00",4142984.89,34121169.07
"2022-05-20 00:00:00",4036357.21,45249289.8
"2022-05-21 00:00:00",3862551.44,30367187.66
"2022-05-22 00:00:00",2948000.14,32615678.23
"2022-05-23 00:00:00",2832573.88,31670452.25
"2022-05-24 00:00:00",2550938.07,27066469.13
"2022-05-25 00:00:00",3600906.57,31968781.33
"2022-05-26 00:00:00",3504248.94,40861030.36
"2022-05-27 00:00:00",4165139.2,32602115.98
"2022-05-28 00:00:00",3079485.28,24286770.06
"2022-05-29 00:00:00",2889183.89,26497494.49
"2022-05-30 00:00:00",1831298.4,29283147.08
"2022-05-31 00:00:00",3990528.03,38861420.84
"2022-06-01 00:00:00",2896020.33,38825232.53
"2022-06-02 00:00:00",2186674.17,30624199.76
"2022-06-03 00:00:00",3175574.33,34648171.44
"2022-06-04 00:00:00",3460130.66,30862458.72
"2022-06-05 00:00:00",3926011.45,28754959.71
"2022-06-06 00:00:00",3919079.34,32652834.21
"2022-06-07 00:00:00",2646851.81,39125834.72
"2022-06-08 00:00:00",4324069.64,40481410.94
"2022-06-09 00:00:00",2851161.37,31452979.68
"2022-06-10 00:00:00",2058603.87,32290081.82
"2022-06-11 00:00:00",1818496.88,32782446.52
"2022-06-12 00:00:00",1640962.34,31036824.58
