,timestamp,min,max,avg
1823,2021-11-04T00:00:00Z,1.8305060302446876,5,2.3111491495843927
1824,2021-11-05T00:00:00Z,1.6869764329068898,4,2.5130813694089075
1825,2021-11-06T00:00:00Z,1.6884241887102674,3.3,2.1478415331245523
1826,2021-11-07T00:00:00Z,2.2,3.18,2.43
1827,2021-11-08T00:00:00Z,0.3015447847429172,2.5,1.8595701663283707
1828,2021-11-09T00:00:00Z,1.6918782363449827,2.3,1.9510321571280592
1829,2021-11-10T00:00:00Z,1.6846911561962159,3.27,2.3171173134007699
1830,2021-11-11T00:00:00Z,1.6805680391168698,2.9,2.0639308995849981
1831,2021-11-12T00:00:00Z,1.6967527543645643,3.4,2.4262341863680473
1832,2021-11-13T00:00:00Z,1.7442991015924892,4,2.7567771829127049
1833,2021-11-14T00:00:00Z,1.9970229203171392,7.5,3.4172801369750459
1834,2021-11-15T00:00:00Z,1.2215488288269953,4,2.869358183288554
1835,2021-11-16T00:00:00Z,1.221362690198829,5,3.1806645016683505
1836,2021-11-17T00:00:00Z,1.9514685461388948,3.98,3.1709101691888424
1837,2021-11-18T00:00:00Z,1.7156312694330415,7.25,3.31781353955197
1838,2021-11-19T00:00:00Z,1.9949695040401036,5.85,3.6863881252726727
1839,2021-11-20T00:00:00Z,1.7050917516855061,4.9,3.5281148494194405
1840,2021-11-21T00:00:00Z,2.2986722084479192,5.825,3.6206947559096845
1841,2021-11-22T00:00:00Z,2.01755396367922,7.5,3.9299734299914043
1842,2021-11-23T00:00:00Z,3.24,4.99,3.7785237619047619
1843,2021-11-24T00:00:00Z,1.7111346724207686,5.125,3.6031324567929552
1844,2021-11-25T00:00:00Z,2.7087021286009187,5,4.0370012072719567
1845,2021-11-26T00:00:00Z,2.4039910558720366,10,4.4654001191991962
1846,2021-11-27T00:00:00Z,1.998563161263773,7.27,4.2794566856157578
1847,2021-11-28T00:00:00Z,2.5147355833751959,6.6666666666666667,4.0902573382704689
1848,2021-11-29T00:00:00Z,2.9878200101130804,5.2,4.0210867015142794
1849,2021-11-30T00:00:00Z,2.8758255125083991,8,4.4477614070670707
1850,2021-12-01T00:00:00Z,2.7314296721426368,6,4.2033965679267707
1851,2021-12-02T00:00:00Z,3.0026027011723757,4.9,4.0555940384123227
1852,2021-12-03T00:00:00Z,2.7823094425802958,5.2202332873945606,3.9197365611027401
1853,2021-12-04T00:00:00Z,1.8622056373873552,5.0269678862446775,3.3434165828096877
1854,2021-12-05T00:00:00Z,2.7691001588020288,4.9,3.6994786442509915
1855,2021-12-06T00:00:00Z,2.9167711221486887,6.9530759062777292,3.8676429164090856
1856,2021-12-07T00:00:00Z,3.0230959162438133,5.45,3.7084077279929243
1857,2021-12-08T00:00:00Z,2.9934579843613744,4.189,3.5757964531823347
1858,2021-12-09T00:00:00Z,2.9275541060037968,6,3.6641638572385055
1859,2021-12-10T00:00:00Z,2.8862299417685036,6,4.0251388744483659
1860,2021-12-11T00:00:00Z,2.9181134999632815,4.95,3.8669661481751902
1861,2021-12-12T00:00:00Z,3.0411306191255588,6,4.0100652650343901
1862,2021-12-13T00:00:00Z,2.8290555298304836,6.95,4.1563786544740719
1863,2021-12-14T00:00:00Z,2.9825439830023539,5,3.6813755444321083
1864,2021-12-15T00:00:00Z,2.8116389467934991,4.5,3.7093145721498464
1865,2021-12-16T00:00:00Z,3.0201251262935144,4.150293693497508,3.5295848633290216
1866,2021-12-17T00:00:00Z,3.2066529695213511,4.56,3.8254013365007542
1867,2021-12-18T00:00:00Z,3.0752772790899045,5.9978885867896692,4.1319880100557746
1868,2021-12-19T00:00:00Z,3.0124702854260352,5.9,3.8000692642453844
1869,2021-12-20T00:00:00Z,3.1791825106431309,7.25,4.0223972186317053
1870,2021-12-21T00:00:00Z,2.9945114901983676,5.2357125143881409,3.7634515850958708
1871,2021-12-22T00:00:00Z,3.0051193745398326,4.0368141569511768,3.6962096591132237
1872,2021-12-23T00:00:00Z,3.2268540088862542,7,4.38880947840478
1873,2021-12-24T00:00:00Z,3.1986806635812608,5.3749452196433245,3.6427946678281136
1874,2021-12-25T00:00:00Z,2.8,3.96,3.67225
1875,2021-12-26T00:00:00Z,3.2968995909443277,5.9,4.1524332878827031
1876,2021-12-27T00:00:00Z,1.5608398866056695,5.2314683976835088,4.157862591567277
1877,2021-12-28T00:00:00Z,3.0271261812986061,5,3.8580018035452394
1878,2021-12-29T00:00:00Z,3.0851784582974095,4.29,3.4930229682984324
1879,2021-12-30T00:00:00Z,0.0100272211047551,4.1,2.8254967526447203
1880,2021-12-31T00:00:00Z,3.1229548733815502,11,4.8480827892209311
1881,2022-01-01T00:00:00Z,3.4069690730693308,5,4.1925903396924492
1882,2022-01-02T00:00:00Z,0.001,5,2.1991501169337758
1883,2022-01-03T00:00:00Z,1.7647977064457382,5.11,3.8668331953705007
1884,2022-01-04T00:00:00Z,3.2047504456019405,12.34,4.7123599374409739
1885,2022-01-05T00:00:00Z,3.2158661768935983,14.5,4.5277378446192342
1886,2022-01-06T00:00:00Z,3.54,5.49,4.2391666666666667
1887,2022-01-07T00:00:00Z,3.2613914302467218,5.6,4.1188434805499404
1888,2022-01-08T00:00:00Z,3.0928420042260782,11,4.7315591354107747
1889,2022-01-09T00:00:00Z,1.7140038041884072,7.8,3.917658403856247
1890,2022-01-10T00:00:00Z,1.93060752303568,7.978,4.2047945591699364
1891,2022-01-11T00:00:00Z,4,81,16.0474155852474813
1892,2022-01-12T00:00:00Z,3.4012502181517937,9.8,4.7873796759766255
1893,2022-01-13T00:00:00Z,3.0409724403185113,6.9,4.3747537167318916
1894,2022-01-14T00:00:00Z,1.8244168273794239,4.986572096080134,3.5905240621995146
1895,2022-01-15T00:00:00Z,3.5998361900323479,60.76,9.1507235477350821
1896,2022-01-16T00:00:00Z,3.7270023672138524,5.68,4.5784713804103202
1897,2022-01-17T00:00:00Z,2.9995429313017689,7.7599694880702225,5.1713592289273114
1898,2022-01-18T00:00:00Z,3.3006985191030918,5.15,4.4957349858116672
1899,2022-01-19T00:00:00Z,3.3559853074653744,4.8133017649591045,4.3125945351808642
1900,2022-01-20T00:00:00Z,3.8952798797932839,5.49,4.6933193424706879
1901,2022-01-21T00:00:00Z,3.71974071754316,8.44,4.7175598289800337
1902,2022-01-22T00:00:00Z,2.9382379529132842,8.8268190078568264,4.8603785625302451
1903,2022-01-23T00:00:00Z,2.6240741558788497,9.78,4.154064858234925
1904,2022-01-24T00:00:00Z,3.0008329676138754,4.9,4.2095704824916898
1905,2022-01-25T00:00:00Z,4.13,4.67,4.335
1906,2022-01-26T00:00:00Z,4.39,7.3,5.3394210526315789
1907,2022-01-27T00:00:00Z,4.5,12,6.3920571428571429
1908,2022-01-28T00:00:00Z,4.45,4.89,4.5866666666666667
1909,2022-01-29T00:00:00Z,4.5,8,6.2125
1910,2022-01-30T00:00:00Z,4.6,9.95,6.124
1911,2022-01-31T00:00:00Z,4.68,11.9,6.805
1912,2022-02-01T00:00:00Z,4.1,6.98,5.2038695652173913
1913,2022-02-02T00:00:00Z,3.9,4.9888,4.59576
1914,2022-02-03T00:00:00Z,4.7,5.9,5.0011111111111111
1915,2022-02-04T00:00:00Z,3.8879007016906447,5.5,4.6492690661549301
1916,2022-02-05T00:00:00Z,3.9991699547946712,5.5,4.9414061609152635
1917,2022-02-06T00:00:00Z,4.0336397517906867,6.7,5.1976077270797055
1918,2022-02-07T00:00:00Z,4.3778248639248452,6.5,5.1766351645205031
1919,2022-02-08T00:00:00Z,4.2510897048175289,6,4.7461927139723451
1920,2022-02-09T00:00:00Z,4.0814140323707662,7.5,5.5551325945921424
1921,2022-02-10T00:00:00Z,4.5205023734454597,6,4.9701321600710559
1922,2022-02-11T00:00:00Z,4.0838915529739058,11.3801915678079997,5.6660752304463728
1923,2022-02-12T00:00:00Z,4.36,7.5,5.1784
1924,2022-02-13T00:00:00Z,4.4,4.7,4.5310985421747186
1925,2022-02-14T00:00:00Z,2.4313958256049178,4.99,4.1559988569964925
1926,2022-02-15T00:00:00Z,4.1944003845398598,5,4.6376860416903753
1927,2022-02-16T00:00:00Z,4.2,6.3333333333333333,5.2511673098091116
1928,2022-02-17T00:00:00Z,3.695395689533938,6.5837139646344739,5.1480641820193728
1929,2022-02-18T00:00:00Z,4.6,6.582673760729515,5.5454316117412207
1930,2022-02-19T00:00:00Z,4.458,10,5.5751538461538462
1931,2022-02-20T00:00:00Z,3.7594002661161906,6,4.6258157752676227
1932,2022-02-21T00:00:00Z,4.54,9,5.207
1933,2022-02-22T00:00:00Z,4.0473522829495147,6.5,4.9215469077811273
1934,2022-02-23T00:00:00Z,5.1,5.2,5.1645051717194523
1935,2022-02-24T00:00:00Z,2.5697340065658755,6,4.8061770565209261
1936,2022-02-25T00:00:00Z,5,7.2,5.6667292320728542
1937,2022-02-26T00:00:00Z,4.739,5.0907939778129953,4.9049484944532488
1938,2022-02-27T00:00:00Z,4.1894477734250232,4.749,4.5339262824367113
1939,2022-02-28T00:00:00Z,3.7080116640111119,6,4.955301944001852
1940,2022-03-01T00:00:00Z,4.2077683886329497,5,4.6725136777265899
1941,2022-03-02T00:00:00Z,2.5455776964595569,4.8,3.9485258988198523
1942,2022-03-03T00:00:00Z,3.4841243827407693,7.9703350846721088,5.000127567943751
1943,2022-03-04T00:00:00Z,3.7185606094030429,5.036181383812633,4.4583336895110465
1944,2022-03-05T00:00:00Z,4.5,5.5,4.9470199879220002
1945,2022-03-06T00:00:00Z,4.5,4.9698421093354251,4.7424605273338563
1946,2022-03-07T00:00:00Z,4.1027607256152697,6.5,5.1255276073254096
1947,2022-03-08T00:00:00Z,3.6985294315767308,9,4.7987740831383413
1948,2022-03-09T00:00:00Z,4.2,5.5,4.5035640809300813
1949,2022-03-10T00:00:00Z,4.1957101740176397,5.1,4.5500508118791497
1950,2022-03-11T00:00:00Z,3.4909310773499862,4.36,4.0405894665160994
1951,2022-03-12T00:00:00Z,4.09,7.4872054950442658,5.101696175011525
1952,2022-03-13T00:00:00Z,3.2924687209448859,4.811923437000723,3.759907079347008
1953,2022-03-14T00:00:00Z,3.8199,4.3516814696053984,4.0857907348026992
1954,2022-03-15T00:00:00Z,2.7963932355816027,5.0434949427453906,3.6988887580923232
1955,2022-03-16T00:00:00Z,2.6016334371564082,10,4.6639537191654298
1956,2022-03-17T00:00:00Z,2.6061908620659015,3.8,3.3192610370984002
1957,2022-03-18T00:00:00Z,3.5043215121771038,4.3448719704173376,3.8221750627953972
1958,2022-03-19T00:00:00Z,3.5,4.0012874187290464,3.7360574837458093
1959,2022-03-20T00:00:00Z,3.382,6.9073867748913696,5.4314384275710448
1960,2022-03-21T00:00:00Z,3.392,3.6995820447368065,3.5053955111842016
1961,2022-03-22T00:00:00Z,3.079085133113828,5,3.867271283278457
1962,2022-03-23T00:00:00Z,2.5941800515316295,4.2,3.563527168420144
1963,2022-03-24T00:00:00Z,2.4305506410619136,3.5,3.1203714897481452
1964,2022-03-25T00:00:00Z,3.11,3.6,3.3033333333333333
1965,2022-03-26T00:00:00Z,2.4274759239736726,3.9,3.2293689809934182
1966,2022-03-27T00:00:00Z,3.0586090002960914,6.1,4.00339447695715
1967,2022-03-28T00:00:00Z,2.8941623618811875,3.55,3.1817905904702969
1968,2022-03-29T00:00:00Z,2.0665981876617834,5,3.6243962186503982
1969,2022-03-30T00:00:00Z,2.6420933780961193,5.5,3.4070155630160199
1970,2022-03-31T00:00:00Z,2.0108334117978084,3.2,2.7660616527128983
