,timestamp,min,max,avg
1779,2021-09-21T00:00:00Z,0.5225,2.99,0.90909974222513570652
1780,2021-09-22T00:00:00Z,0.55,1.7,0.76554736842105263158
1781,2021-09-23T00:00:00Z,0.5501,7.75,1.1006955337373615
1782,2021-09-24T00:00:00Z,0.5501,3.5,0.92069505378295996744
1783,2021-09-25T00:00:00Z,0.55,1.2,0.76232195121951219512
1784,2021-09-26T00:00:00Z,0.5501,3.55,1.186073910778683
1785,2021-09-27T00:00:00Z,0.5,2.3,0.89123947368421052632
1786,2021-09-28T00:00:00Z,0.504874111007145,5.9,1.0751724559781928
1787,2021-09-29T00:00:00Z,0.542,5.2,1.1928958322120929
1788,2021-09-30T00:00:00Z,0.159,5,1.115683950617284
1789,2021-10-01T00:00:00Z,0.645,7.5,1.21506938111588
1790,2021-10-02T00:00:00Z,0.0878,3,1.1455772727272727
1791,2021-10-03T00:00:00Z,0.75,3.99,1.254702884505737
1792,2021-10-04T00:00:00Z,0.625,10,1.5704492957746479
1793,2021-10-05T00:00:00Z,0.85,7.2,1.3615042127847869
1794,2021-10-06T00:00:00Z,0.8701,46.5,1.9568746153846154
1795,2021-10-07T00:00:00Z,0.0966,3.98,1.2854075
1796,2021-10-08T00:00:00Z,0.92,19.8,1.7870531506849315
1797,2021-10-09T00:00:00Z,0.76,3.75,1.4285826466334519
1798,2021-10-10T00:00:00Z,0.92,6,1.6266509803921569
1799,2021-10-11T00:00:00Z,0.75,7.5,1.552885
1800,2021-10-12T00:00:00Z,0.7,3.05,1.4905690592380517
1801,2021-10-13T00:00:00Z,0.96,6.88,1.6730930980456107
1802,2021-10-14T00:00:00Z,1.0444,6.9,1.6748976923076923
1803,2021-10-15T00:00:00Z,1.05,3.48,1.5976896551724138
1804,2021-10-16T00:00:00Z,0.8501,4,1.3991809523809524
1805,2021-10-17T00:00:00Z,0.8502,4.99,1.464009756097561
1806,2021-10-18T00:00:00Z,0.5,2.8,1.3169287878787879
1807,2021-10-19T00:00:00Z,0.888,2.79,1.2959187930608057
1808,2021-10-20T00:00:00Z,0.8,9,1.3545558823529412
1809,2021-10-21T00:00:00Z,0.8881,8.99,1.728187037037037
1810,2021-10-22T00:00:00Z,0.8901,3.1,1.3256949152542373
1811,2021-10-23T00:00:00Z,0.9755,6.65,1.475859649122807
1812,2021-10-24T00:00:00Z,0.9755,5,1.5281048780487805
1813,2021-10-25T00:00:00Z,0.95,4,1.4015133967318107
1814,2021-10-26T00:00:00Z,0.6243,5,1.4464684210526316
1815,2021-10-27T00:00:00Z,0.87,4.5,1.43244
1816,2021-10-28T00:00:00Z,0.87,6.66,1.4900903125
1817,2021-10-29T00:00:00Z,0.4,4,1.2590970588235294
1818,2021-10-30T00:00:00Z,0.85,3.99,1.3723078947368421
1819,2021-10-31T00:00:00Z,0.885,5,1.3847938235294118
1820,2021-11-01T00:00:00Z,0.8650626817521522,4.3,1.2975613994819333
1821,2021-11-02T00:00:00Z,0.8589675847491403,3,1.2732972714291563
1822,2021-11-03T00:00:00Z,0.79,3,1.1682160251319771
1823,2021-11-04T00:00:00Z,0.7222013825761493,2.7321721684567353,1.1877883135496623
1824,2021-11-05T00:00:00Z,0.763751479693211,3.5,1.3474595411091575
1825,2021-11-06T00:00:00Z,0.8,1.5,1.1397330582555716
1826,2021-11-07T00:00:00Z,0.8986378802500401,2.8,1.4759294221961519
1827,2021-11-08T00:00:00Z,0.6921295728078333,1.9,1.1585649631686384
1828,2021-11-09T00:00:00Z,0.777863544165711,10,1.5470446603676419
1829,2021-11-10T00:00:00Z,0.8409531853144802,7,1.6206069249790832
1830,2021-11-11T00:00:00Z,0.85,12.8170122212241806,1.716071751152858
1831,2021-11-12T00:00:00Z,0.6649623683451366,3.859290906962568,1.2972557325719628
1832,2021-11-13T00:00:00Z,0.0102968650661868,5.045028160463796,1.5730171128381903
1833,2021-11-14T00:00:00Z,0.8369371056469456,3.45,1.1157793353431341
1834,2021-11-15T00:00:00Z,0.8891273442609605,2.92,1.3193498996648536
1835,2021-11-16T00:00:00Z,0.8443527325718162,2.25,1.2658732287132137
1836,2021-11-17T00:00:00Z,0.9265283472625784,5.5,1.7926847058992422
1837,2021-11-18T00:00:00Z,0.9601434356661285,2.9,1.3079951028770535
1838,2021-11-19T00:00:00Z,0.9215612191987277,3.9826740546729972,1.386704251397029
1839,2021-11-20T00:00:00Z,0.9902728124870256,3.9,1.3856620095406181
1840,2021-11-21T00:00:00Z,0.8853216087938312,5.004913226208898,1.4136811586148558
1841,2021-11-22T00:00:00Z,0.935,3.88,1.2938303942950094
