date,The Sandbox,isPartial
2022-04-17 00:00:00,0,False
2022-04-17 01:00:00,19,False
2022-04-17 02:00:00,0,False
2022-04-17 03:00:00,0,False
2022-04-17 04:00:00,0,False
2022-04-17 05:00:00,0,False
2022-04-17 06:00:00,33,False
2022-04-17 07:00:00,22,False
2022-04-17 08:00:00,21,False
2022-04-17 09:00:00,0,False
2022-04-17 10:00:00,34,False
2022-04-17 11:00:00,0,False
2022-04-17 12:00:00,26,False
2022-04-17 13:00:00,0,False
2022-04-17 14:00:00,23,False
2022-04-17 15:00:00,0,False
2022-04-17 16:00:00,47,False
2022-04-17 17:00:00,12,False
2022-04-17 18:00:00,31,False
2022-04-17 19:00:00,0,False
2022-04-17 20:00:00,0,False
2022-04-17 21:00:00,0,False
2022-04-17 22:00:00,0,False
2022-04-17 23:00:00,0,False
2022-04-18 00:00:00,0,False
2022-04-18 01:00:00,43,False
2022-04-18 02:00:00,22,False
2022-04-18 03:00:00,0,False
2022-04-18 04:00:00,0,False
2022-04-18 05:00:00,0,False
2022-04-18 06:00:00,0,False
2022-04-18 07:00:00,30,False
2022-04-18 08:00:00,28,False
2022-04-18 09:00:00,42,False
2022-04-18 10:00:00,21,False
2022-04-18 11:00:00,0,False
2022-04-18 12:00:00,34,False
2022-04-18 13:00:00,0,False
2022-04-18 14:00:00,15,False
2022-04-18 15:00:00,31,False
2022-04-18 16:00:00,30,False
2022-04-18 17:00:00,24,False
2022-04-18 18:00:00,0,False
2022-04-18 19:00:00,19,False
2022-04-18 20:00:00,0,False
2022-04-18 21:00:00,26,False
2022-04-18 22:00:00,16,False
2022-04-18 23:00:00,50,False
2022-04-19 00:00:00,0,False
2022-04-19 01:00:00,0,False
2022-04-19 02:00:00,0,False
2022-04-19 03:00:00,0,False
2022-04-19 04:00:00,100,False
2022-04-19 05:00:00,0,False
2022-04-19 06:00:00,35,False
2022-04-19 07:00:00,28,False
2022-04-19 08:00:00,29,False
2022-04-19 09:00:00,0,False
