date,Mutant Ape Yacht Club
2019-03-03,0
2019-03-04,0
2019-03-05,0
2019-03-06,0
2019-03-07,0
2019-03-08,254
2019-03-09,128
2019-03-10,108
2019-03-11,361
2019-03-12,64
2019-03-13,163
2019-03-14,147
2019-03-15,73
2019-03-16,137
2019-03-17,163
2019-03-18,92
2019-03-19,105
2019-03-20,279
2019-03-21,297
2019-03-22,0
2019-04-05,341
2019-04-06,131
2019-04-07,285
2019-04-08,123
2019-04-09,344
2019-04-10,261
2019-04-11,293
2019-04-12,332
2019-04-13,170
2019-04-14,135
2019-04-15,118
2019-04-16,284
2019-04-17,104
2019-04-18,151
2019-04-19,156
2019-04-20,243
2019-04-21,199
2019-04-22,150
2019-04-23,169
2019-04-24,143
2019-04-25,241
2019-04-26,47
2019-04-27,226
2019-04-28,182
2019-04-29,218
2019-04-30,110
2019-05-01,151
2019-05-02,220
2019-05-03,77
2019-05-04,244
2019-05-05,62
2019-05-06,86
2019-05-07,0
2019-05-08,0
2019-05-09,0
2019-05-10,254
2019-05-11,342
2019-05-12,355
2019-05-13,233
2019-05-14,310
2019-05-15,132
2019-05-16,337
2019-05-17,0
2019-06-07,101
2019-06-08,147
2019-06-09,241
2019-06-10,16
2019-06-11,120
2019-06-12,158
2019-06-13,284
2019-06-14,160
2019-06-15,0
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-28,113
2019-06-29,223
2019-06-30,134
2019-07-01,264
2019-07-02,88
2019-07-03,66
2019-07-04,215
2019-07-05,153
2019-07-06,189
2019-07-07,237
2019-07-08,211
2019-07-09,156
2019-07-10,17
2019-07-11,0
2019-07-12,0
2019-07-19,56
2019-07-20,181
2019-07-21,22
2019-07-22,278
2019-07-23,0
2019-07-24,212
2019-07-25,150
2019-07-26,118
2019-07-27,77
2019-07-28,109
2019-07-29,171
2019-07-30,281
2019-07-31,220
2019-08-01,300
2019-08-02,0
2019-08-09,154
2019-08-10,155
2019-08-11,190
2019-08-12,203
2019-08-13,279
2019-08-14,197
2019-08-15,169
2019-08-16,0
2019-08-17,63
2019-08-18,163
2019-08-19,39
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-30,181
2019-08-31,204
2019-09-01,183
2019-09-02,134
2019-09-03,267
2019-09-04,158
2019-09-05,0
2019-09-06,357
2019-09-07,278
2019-09-08,234
2019-09-09,159
2019-09-10,0
2019-09-11,291
2019-09-12,128
2019-09-13,400
2019-09-14,103
2019-09-15,191
2019-09-16,262
2019-09-17,157
2019-09-18,206
2019-09-19,263
2019-09-20,251
2019-09-21,120
2019-09-22,369
2019-09-23,165
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-10-25,99
2019-10-26,51
2019-10-27,127
2019-10-28,96
2019-10-29,101
