"DateTime","Primary sales USD","Secondary sales USD"
"2017-11-24 00:00:00",1506.86,3492.29
"2017-11-25 00:00:00",935.26,948.74
"2017-11-26 00:00:00",1203.62,753.91
"2017-11-27 00:00:00",592.48,1309.85
"2017-11-28 00:00:00",1408.6,2918.53
"2017-11-29 00:00:00",14763.11,12277.07
"2017-11-30 00:00:00",8599.6,12465.4
"2017-12-01 00:00:00",18332.92,15138.68
"2017-12-02 00:00:00",206575.62,51926.02
"2017-12-03 00:00:00",614956.4,397866.67
"2017-12-04 00:00:00",445456.24,1877758.22
"2017-12-05 00:00:00",582325.79,1618290.61
"2017-12-06 00:00:00",395185.44,1446143.79
"2017-12-07 00:00:00",246197.92,1436987.42
"2017-12-08 00:00:00",356669.53,1676460.07
"2017-12-09 00:00:00",650263,1095872.81
"2017-12-10 00:00:00",458105.9,873339.57
"2017-12-11 00:00:00",369334.39,719821.42
"2017-12-12 00:00:00",314403.08,485316.8
"2017-12-13 00:00:00",210582.53,394851.04
"2017-12-14 00:00:00",216489.49,371402.78
"2017-12-15 00:00:00",212728.71,224999.27
"2017-12-16 00:00:00",140615.03,339427.3
"2017-12-17 00:00:00",161489.95,241175.69
"2017-12-18 00:00:00",132996.03,177872.91
"2017-12-19 00:00:00",123091.84,110128.59
"2017-12-20 00:00:00",73118.47,188294.85
"2017-12-21 00:00:00",72924.02,125574.59
"2017-12-22 00:00:00",58284.07,92651.6
"2017-12-23 00:00:00",75329.79,72783.65
"2017-12-24 00:00:00",67253.79,61696.78
"2017-12-25 00:00:00",57337.32,61271.1
"2017-12-26 00:00:00",49660.27,67452.99
"2017-12-27 00:00:00",53920.34,59394.6
"2017-12-28 00:00:00",63043.5,52795.05
"2017-12-29 00:00:00",65614.99,45259.17
"2017-12-30 00:00:00",42743.37,36721.24
"2017-12-31 00:00:00",57028.49,43489.71
"2018-01-01 00:00:00",40241.67,70477.03
"2018-01-02 00:00:00",62931.28,40545.55
"2018-01-03 00:00:00",33927.28,22449.07
"2018-01-04 00:00:00",33685.08,24711.03
"2018-01-05 00:00:00",27561.59,14648.51
"2018-01-06 00:00:00",34419.03,47757.61
"2018-01-07 00:00:00",37743.22,25065.33
"2018-01-08 00:00:00",32074.97,24943.37
"2018-01-09 00:00:00",33328.18,22787.74
"2018-01-10 00:00:00",39695.68,12627.13
"2018-01-11 00:00:00",32088.1,19707.23
"2018-01-12 00:00:00",30970.21,30299.67
"2018-01-13 00:00:00",33058.5,27997.08
"2018-01-14 00:00:00",47824.97,32323.44
"2018-01-15 00:00:00",30236.18,19193.34
"2018-01-16 00:00:00",23423.12,31445.96
"2018-01-17 00:00:00",26447.6,18378.78
"2018-01-18 00:00:00",27479.68,23520.62
"2018-01-19 00:00:00",33320.92,39833.73
"2018-01-20 00:00:00",44884.05,109924.71
"2018-01-21 00:00:00",44620.03,18794.38
"2018-01-22 00:00:00",50222.2,16886.29
"2018-01-23 00:00:00",57485.28,21628.01
"2018-01-24 00:00:00",29184.39,21213.74
"2018-01-25 00:00:00",27262.94,14550.64
"2018-01-26 00:00:00",34593.28,22733.03
"2018-01-27 00:00:00",32520.85,21875.33
"2018-01-28 00:00:00",30024.44,43776.42
"2018-01-29 00:00:00",26329.2,21355.92
"2018-01-30 00:00:00",30402.57,26514.69
"2018-01-31 00:00:00",42676.88,68978.24
"2018-02-01 00:00:00",29011.01,11298.43
"2018-02-02 00:00:00",28717.73,26536.29
"2018-02-03 00:00:00",20488.57,15842.57
"2018-02-04 00:00:00",19484.37,12153.89
"2018-02-05 00:00:00",16227.83,13143.21
"2018-02-06 00:00:00",19174.16,16031.81
"2018-02-07 00:00:00",20715.26,14822.62
"2018-02-08 00:00:00",18649.36,14495.81
"2018-02-09 00:00:00",22252.07,25286.91
"2018-02-10 00:00:00",20738.84,46827.65
"2018-02-11 00:00:00",29482.29,33640.87
"2018-02-12 00:00:00",30542.27,25765.31
"2018-02-13 00:00:00",39474.81,53408.83
"2018-02-14 00:00:00",60521.6,319590.89
"2018-02-15 00:00:00",105396.76,653676.65
"2018-02-16 00:00:00",82830.03,85921.18
"2018-02-17 00:00:00",62137.91,98472.2
