,timestamp,min,max,avg
1508,2020-12-24T00:00:00Z,0.05,0.8,0.25
1509,2020-12-25T00:00:00Z,0.08,1.05,0.09268867924528301887
1510,2020-12-26T00:00:00Z,0.05,0.05,0.05
1511,2020-12-27T00:00:00Z,0.01,0.1,0.07
1512,2020-12-28T00:00:00Z,0.015,0.1,0.0504
1513,2020-12-29T00:00:00Z,0.01,0.2,0.076
1514,2020-12-30T00:00:00Z,0.03,0.3,0.16
1515,2020-12-31T00:00:00Z,0.1,0.3,0.1875
1516,2021-01-01T00:00:00Z,0.01,0.07,0.02996762589928057554
1517,2021-01-02T00:00:00Z,0.015,2.5,0.66428571428571428571
1518,2021-01-03T00:00:00Z,0.07,0.5,0.19666666666666666667
1519,2021-01-04T00:00:00Z,0.025,0.488,0.14477777777777777778
1520,2021-01-05T00:00:00Z,0.024,0.27,0.11711111111111111111
1521,2021-01-06T00:00:00Z,0.01,0.25,0.135625
1522,2021-01-07T00:00:00Z,0.01,1,0.14266666666666666667
1523,2021-01-08T00:00:00Z,0.01,0.12,0.03933333333333333333
1524,2021-01-09T00:00:00Z,0.015685493,0.3,0.05170474961111111111
1525,2021-01-10T00:00:00Z,0.01,0.5,0.0787962962962962963
1526,2021-01-11T00:00:00Z,0.01,0.1,0.03003846153846153846
1527,2021-01-12T00:00:00Z,0.025,1,0.17362068965517241379
1528,2021-01-13T00:00:00Z,0.02,1.25,0.13669245
1529,2021-01-14T00:00:00Z,0.01,2,0.347175
1530,2021-01-15T00:00:00Z,0.016,0.5,0.145875
1531,2021-01-16T00:00:00Z,0.02,0.7,0.12333333333333333333
1532,2021-01-17T00:00:00Z,0.01,0.5,0.10142857142857142857
1533,2021-01-18T00:00:00Z,0.01,19.5,1.1348095238095238
1534,2021-01-19T00:00:00Z,0.02,1,0.17166666666666666667
1535,2021-01-20T00:00:00Z,0.0143,30.1,1.510316
1536,2021-01-21T00:00:00Z,0.035,0.88,0.153
1537,2021-01-22T00:00:00Z,0.01,0.3,0.06510489609525808889
1538,2021-01-23T00:00:00Z,0.0123,1.5,0.23369444444444444444
1539,2021-01-24T00:00:00Z,0.01,0.5,0.10213043478260869565
1540,2021-01-25T00:00:00Z,0.015,0.5,0.11670178571428571429
1541,2021-01-26T00:00:00Z,0.01,20,1.048305
1542,2021-01-27T00:00:00Z,0.01,5,0.24570000000000000294
1543,2021-01-28T00:00:00Z,0.01,5,0.76322325581395349302
1544,2021-01-29T00:00:00Z,0.018,0.5,0.14564000000000000286
1545,2021-01-30T00:00:00Z,0.01,0.15,0.07814615384615384615
1546,2021-01-31T00:00:00Z,0.0143,1.1,0.12990782608695652174
1547,2021-02-01T00:00:00Z,0.014,10.5,0.35141145833333333333
1548,2021-02-02T00:00:00Z,0.01,5,0.28567941176470588235
1549,2021-02-03T00:00:00Z,0.01,2.5,0.22705172413793103448
1550,2021-02-04T00:00:00Z,0.0001,31.3965264375,0.31869135203977903739
1551,2021-02-05T00:00:00Z,0.01,0.2,0.08255714285714285714
1552,2021-02-06T00:00:00Z,0.01,0.7,0.12712061416559791786
1553,2021-02-07T00:00:00Z,0.019,1.16,0.19140769230769230769
1554,2021-02-08T00:00:00Z,0.01,4.2,0.23451624810070879756
1555,2021-02-09T00:00:00Z,0.01,1.22,0.17838587900669079032
1556,2021-02-10T00:00:00Z,0.02,2.205,0.21506857142857142571
1557,2021-02-11T00:00:00Z,0.012,1,0.33629323529411764706
1558,2021-02-12T00:00:00Z,0.01,1,0.22900885416666666667
1559,2021-02-13T00:00:00Z,0.01,1.8,0.1823987815126050395
1560,2021-02-14T00:00:00Z,0.0098,2,0.18024511757028643984
1561,2021-02-15T00:00:00Z,0.01,1.25,0.1998167613636363625
1562,2021-02-16T00:00:00Z,0.002,1.7943414491166227,0.17895815880620299884
1563,2021-02-17T00:00:00Z,0.0025,3,0.18512170352497028396
1564,2021-02-18T00:00:00Z,0.01,5,0.23016223544973544974
1565,2021-02-19T00:00:00Z,0.01,6.942,0.2754169974623457107
1566,2021-02-20T00:00:00Z,0.01,5.49,0.2894872758923390515
1567,2021-02-21T00:00:00Z,0.01,9.2988,0.32957376362320946202
1568,2021-02-22T00:00:00Z,0.01,4.5360741,0.31837424954704013713
1569,2021-02-23T00:00:00Z,0.01,29.99,0.5417059457732230611
1570,2021-02-24T00:00:00Z,0.01,45.67,0.27181628876145261034
1571,2021-02-25T00:00:00Z,0.01,88.8,3.3373740435208277
1572,2021-02-26T00:00:00Z,0.005,5,0.33064896418826869856
1573,2021-02-27T00:00:00Z,0.0001,19.99,0.28319901632181507926
1574,2021-02-28T00:00:00Z,0.01,30,0.33242063302492644478
1575,2021-03-01T00:00:00Z,0.005,20,0.22560714025960667262
1576,2021-03-02T00:00:00Z,0.01,6.66,0.23605801636110427216
1577,2021-03-03T00:00:00Z,0.002,7.5,0.2212113223528908388
1578,2021-03-04T00:00:00Z,0.002,4.432366331367188,0.22519727404956930837
1579,2021-03-05T00:00:00Z,0.003,10,0.16678992886239152819
1580,2021-03-06T00:00:00Z,0.01,12.2,0.30410690739290530685
1581,2021-03-07T00:00:00Z,0.002,38,0.52152002810238165683
1582,2021-03-08T00:00:00Z,0.009,52.5,0.27830364375400855151
1583,2021-03-09T00:00:00Z,0.0027,89,0.38949150655893694452
1584,2021-03-10T00:00:00Z,0.01,53,0.21188605715342736306
1585,2021-03-11T00:00:00Z,0.01,22.9824,0.15053633434015296572
1586,2021-03-12T00:00:00Z,0.01,38.888,0.20418149875305126878
1587,2021-03-13T00:00:00Z,0.01,29.54910887578125,0.22771058513656450605
1588,2021-03-14T00:00:00Z,0.002,42,0.33570786056588078776
1589,2021-03-15T00:00:00Z,0.01,229.8135,0.21946463504222521683
1590,2021-03-16T00:00:00Z,0.0036363636363636,27.99,0.19558705607063246376
1591,2021-03-17T00:00:00Z,0.01,14.99,0.20035331147524563812
1592,2021-03-18T00:00:00Z,0.0035714285714286,69.42,0.29193002303985778036
1593,2021-03-19T00:00:00Z,0.008,100,0.29614472139486868147
1594,2021-03-20T00:00:00Z,0.0072694617707984,16,0.16988165725393076589
1595,2021-03-21T00:00:00Z,0.001,5.99,0.17188648799009409757
1596,2021-03-22T00:00:00Z,0.003,8,0.2671690042578958401
1597,2021-03-23T00:00:00Z,0.005,10,0.21224198691290024821
1598,2021-03-24T00:00:00Z,0.001,71,0.30135231770546077593
1599,2021-03-25T00:00:00Z,0.01,38,0.29347350786088945035
1600,2021-03-26T00:00:00Z,0.0039603757854844,19,0.24027127997441124559
1601,2021-03-27T00:00:00Z,0.005,36.9,0.20124372630299402306
1602,2021-03-28T00:00:00Z,0.001,25.625,0.25488807539901409057
1603,2021-03-29T00:00:00Z,0.0012,10,0.21418046744783655686
1604,2021-03-30T00:00:00Z,0.01,12.6075,0.25504600491167153295
1605,2021-03-31T00:00:00Z,0.0005,50,0.44347943431963386396
1606,2021-04-01T00:00:00Z,0.005,20,0.28533196943273745625
1607,2021-04-02T00:00:00Z,0.0076666666666667,17.3,0.2361024607034043083
1608,2021-04-03T00:00:00Z,0.01,18,0.29816350391178594711
1609,2021-04-04T00:00:00Z,0.0015,15.99,0.19373095943473771167
1610,2021-04-05T00:00:00Z,0.01,7.5,0.18461755361685388786
1611,2021-04-06T00:00:00Z,0.001,171.99,0.43002815142512792005
1612,2021-04-07T00:00:00Z,0.01,23.59,0.27211244295508244915
1613,2021-04-08T00:00:00Z,0.01,19.5,0.18336557905226893013
1614,2021-04-09T00:00:00Z,0.01,38.712,0.22640286124433071673
1615,2021-04-10T00:00:00Z,0.005,19.91115,0.19967709405639408251
1616,2021-04-11T00:00:00Z,0.005,16,0.24449730900822894266
1617,2021-04-12T00:00:00Z,0.005,10,0.16498507190057623963
1618,2021-04-13T00:00:00Z,0.0015,36.9495,0.31094812563351843505
1619,2021-04-14T00:00:00Z,0.0015,31.9999,0.31814690518698384874
1620,2021-04-15T00:00:00Z,0.0016666666666667,15,0.20947254232088316803
1621,2021-04-16T00:00:00Z,0.0085,11.948,0.3106368188408829354
1622,2021-04-17T00:00:00Z,0.01,20,0.34607711089737038435
1623,2021-04-18T00:00:00Z,0.0004464,40,0.23942061244967543591
1624,2021-04-19T00:00:00Z,0.0025,13,0.29057901579565743616
1625,2021-04-20T00:00:00Z,0.01,40,0.35209570643046752268
1626,2021-04-21T00:00:00Z,0.005,12.2989,0.16483060749119635684
1627,2021-04-22T00:00:00Z,0.003,27.5,0.29019410913503157791
1628,2021-04-23T00:00:00Z,0.01,10,0.20810463998271630914
1629,2021-04-24T00:00:00Z,0.0075,12.4025,0.21018219159679181322
1630,2021-04-25T00:00:00Z,0.0005,13,0.22837991338983993756
1631,2021-04-26T00:00:00Z,0.003,8.50854375,0.14305973302541658106
1632,2021-04-27T00:00:00Z,0.01,44,0.24391330210571441829
1633,2021-04-28T00:00:00Z,0.002,11,0.19537188936804358898
1634,2021-04-29T00:00:00Z,0.0023,6.49,0.09025538504634265006
1635,2021-04-30T00:00:00Z,0.008,50,0.18245579367727911486
1636,2021-05-01T00:00:00Z,0.0083333333333333,12,0.16432013442428950268
1637,2021-05-02T00:00:00Z,0.0054122208928546,45,0.29577992509942577893
1638,2021-05-03T00:00:00Z,0.01,285.1111,0.43473822190948710892
1639,2021-05-04T00:00:00Z,0.0025,5,0.11378273736171179924
1640,2021-05-05T00:00:00Z,0.006,12.57,0.12207642601950188498
1641,2021-05-06T00:00:00Z,0.01,12,0.11210634475384526262
1642,2021-05-07T00:00:00Z,0.00375,8,0.13180037461302635366
1643,2021-05-08T00:00:00Z,0.01,1337,2.6408177606919135
1644,2021-05-09T00:00:00Z,0.005,5.1975,0.1648761030799310914
1645,2021-05-10T00:00:00Z,0.01,7.5,0.296184465132959187
1646,2021-05-11T00:00:00Z,0.01,50,0.6560063595540351805
1647,2021-05-12T00:00:00Z,0.01,15,0.68084921208000757348
1648,2021-05-13T00:00:00Z,0.005,13,0.19174526153245440571
1649,2021-05-14T00:00:00Z,0.001,5,0.12339908089584163116
1650,2021-05-15T00:00:00Z,0.01,15,0.13438979002408624174
1651,2021-05-16T00:00:00Z,0.01,4,0.14339657366209958556
1652,2021-05-17T00:00:00Z,0.005,15,0.26451936224255514467
1653,2021-05-18T00:00:00Z,0.01,60,0.32169306761515573437
1654,2021-05-19T00:00:00Z,0.01,10.9076179489798533,0.19300843516776682688
1655,2021-05-20T00:00:00Z,0.01,22,0.14300221938350637399
1656,2021-05-21T00:00:00Z,0.0002,22,0.24900202879643016486
1657,2021-05-22T00:00:00Z,0.0001,11.8388277113347071,0.08801169309995073868
1658,2021-05-23T00:00:00Z,0.0003225806451613,11.6278695208057059,0.14361904911907327346
1659,2021-05-24T00:00:00Z,0.01,5.5,0.22496386713454638453
1660,2021-05-25T00:00:00Z,0.005,13.5,0.15068714113118500366
1661,2021-05-26T00:00:00Z,0.0001,9,0.10114648224881569723
1662,2021-05-27T00:00:00Z,0.005,6.5,0.10679420297263042517
1663,2021-05-28T00:00:00Z,0.007,7,0.0849537744601608935
1664,2021-05-29T00:00:00Z,0.0075,9.89,0.12484681886188170962
1665,2021-05-30T00:00:00Z,0.0042,15,0.18021601812304328586
1666,2021-05-31T00:00:00Z,0.007,7.9729012203485761,0.12548858635989580801
1667,2021-06-01T00:00:00Z,0.0025,5.5,0.18477793400421744352
1668,2021-06-02T00:00:00Z,0.005,11.5861359081464974,0.13025779207425937981
1669,2021-06-03T00:00:00Z,0.00125,11.4322092565957093,0.13196243849597796732
1670,2021-06-04T00:00:00Z,0.0025,5.5,0.0924502956485605603
1671,2021-06-05T00:00:00Z,0.0025,7.6616191841917314,0.07338851053627817098
1672,2021-06-06T00:00:00Z,0.0015,56,0.11148923527562373281
1673,2021-06-07T00:00:00Z,0.0042857142857143,35.78,0.12910078133360308372
1674,2021-06-08T00:00:00Z,0.0005,8,0.10657880857142908377
1675,2021-06-09T00:00:00Z,0.0035714285714286,9,0.09992082670512980461
1676,2021-06-10T00:00:00Z,0.0066666666666667,5,0.09277703574947058218
1677,2021-06-11T00:00:00Z,0.005,34,0.11531658760635885874
1678,2021-06-12T00:00:00Z,0.0005,30,0.09759240446640624681
1679,2021-06-13T00:00:00Z,0.003,8.5,0.08976031702634216061
